"","duration_in_seconds","response_id","user_language","consent","animal_type","animal_type_8_text","org_years","org_geographic_lvl","org_country","org_size","org_budget","org_budget_currency","org_budget_currency_5_text","org_mission","org_mission_4_text","country_focus","org_advocacy","org_advocacy_6_text","org_focus","org_focus_6_text","advocacy_diet","advocacy_diet_4_text","advocacy_corporate","advocacy_corporate_4_text","advocacy_policy","advocacy_policy_5_text","advocacy_inst","advocacy_inst_5_text","interest_diet","interest_diet_r1","interest_diet_r2","interest_corp","interest_corp_r1","interest_corp_r2","interest_policy","interest_policy_r1","interest_policy_r2","interest_inst","interest_inst_r1","interest_inst_r2","interest_direct","interest_direct_r1","interest_direct_r2","advocacy_satisfy_1","advocacy_satisfy_2","advocacy_satisfy_3","advocacy_satisfy_4","advocacy_satisfy_5","advocacy_satisfy_6","advocacy_satisfy_6_text","diet_dissatisfy","corporate_dissatisfy","policy_dissatisfy","insti_dissatisfy","direct_dissatisfy","other_dissatisfy","factors_importance_1","factors_importance_2","factors_importance_3","factors_importance_4","factors_importance_5","obstacles_1","obstacles_2","obstacles_3","obstacles_4","obstacles_5","obstacles_6","resources_1","resources_2","resources_3","resources_4","resources_5","resources_6","resources_7","resources_8","participant_role","participant_role_9_text","q_language","speed_limit","flag_speed"
"50",981,"R_O9XhEmRLmTKxXLX","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Wild animals","","1-2 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","Ghana,Greece,Indonesia,Kenya,Liberia,Netherlands,Spain,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America","1-5","8143","Euro","","Other (please specify)","Empowering and accelerating animal and vegan advocacy or animal rights charties through organizational development-support, with a focus on monitoring, evaluation, and learning.","Ghana,Greece,Indonesia,Kenya,Liberia,Netherlands,Spain,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America","Other (please specify)","Organizational developement with a focus on monitoring, evaluation, and learning.","","","","","","","","","","","Very uninterested","Our focus is on meta, so direct work doesn't suit the organization.","","Very uninterested","Our focus is on meta, so direct work doesn't suit the organization.","","Very uninterested","Our focus is on meta, so direct work doesn't suit the organization.","","Very uninterested","Our focus is on meta, so direct work doesn't suit the organization.","","Very uninterested","Our focus is on meta, so direct work doesn't suit the organization.","","","","","","","Somewhat satisfied","","","","","","","","Somewhat important","Somewhat important","Very important","Very important","Very important","Not at all an obstacle","Not at all an obstacle","Somewhat of an obstacle","Not at all an obstacle","Not at all an obstacle","Somewhat of an obstacle","Very useful","Somewhat useful","Not at all useful","Somewhat useful","Not at all useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Marketing and communications,Operations","","EN",267.666666666667,FALSE
"51",526,"R_2aY7tQkTnTsNgfA","PT-BR","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Companion animals (e.g., dogs, cats raised as pets)","","1-2 years","At the national level, operating almost exclusively within a single country","Afghanistan","Less than 1","1.000","Other (Please Specify)","Real","Mixed: Combines ideas related to both welfare and rights","","Afghanistan","Individual diet outreach, vegan/vegetarian advocacy, and education,Direct work (e.g., rescues, veterinary care, sanctuaries)","","Direct work (e.g., rescues, veterinary care, sanctuaries)","","Online campaigns","","","","","","","","","","","Very interested","","Recurso","Very interested","","Oportunidade","Very interested","","Recursos","","","","Neither satisfied nor dissatisfied","","","","Somewhat dissatisfied","","","","","","","Trabalho sozinha e não tem apoio. Minha estrutura é alugada, então sempre preciso me mudar com animais.","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Not at all an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Other (please specify)","Atualmente eu trabalho sozinha e moro com os animais","PT-BR",267.666666666667,FALSE
"52",1109,"R_2azCq4SG95AloYY","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Companion animals (e.g., dogs, cats raised as pets),Wild animals","","6-10 years","At the regional level, operating in multiple countries within one region (e.g., within Asia, Africa, Europe, Latin America, Middle East and North Africa, North America, or Oceania)","Malawi,Mozambique,Zambia","6-10","200000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Malawi","Individual diet outreach, vegan/vegetarian advocacy, and education,Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Institutional campaigns (e.g., working with schools, prisons, etc.)","","In-person/street advocacy,Online campaigns ,Community events/workshops","","Campaigning for producers and companies to go cage/crate-free,Campaigns to increase vegan/vegetarian options at businesses,Campaigns for businesses to conduct ethical sourcing of other animal products","","Cage-free/crate-free legislation or regulations,Other legislation or regulations related to farmed animal welfare","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options,Working with hospitals to increase vegan/vegetarian/higher welfare options","","","","","","","","","","","","","","","","","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Not at all an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Somewhat useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Marketing and communications,Operations,Research & analytics,Animal care","","EN",267.666666666667,FALSE
"53",521,"R_3MzCZvfAihmj7N9","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp)","","More than 10 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","Israel,United Kingdom of Great Britain and Northern Ireland,United States of America","21-40","2300000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Israel,United Kingdom of Great Britain and Northern Ireland,United States of America","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","Community events/workshops","","","","","","","","","","","Very interested","","We focus on other projects","Somewhat uninterested","It seems hard and not effective","","Somewhat interested","","We so it sometimes","Very uninterested","It's not the way my organization work","","Very satisfied","","","","","","","","","","","","","Very important","Very important","Somewhat important","Very important","Very important","Somewhat of an obstacle","Not at all an obstacle","Very much an obstacle","Somewhat of an obstacle","Not at all an obstacle","Somewhat of an obstacle","Very useful","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Very useful","Very useful","Fundraising & grants","","EN",267.666666666667,FALSE
"54",2128,"R_pELHfvhBuhzByp3","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Dogs/cats used for meat,Wild animals","","3-5 years","At the national level, operating almost exclusively within a single country","Cameroon","6-10","5000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Cameroon","Individual diet outreach, vegan/vegetarian advocacy, and education,Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.)","","Institutional campaigns (e.g., working with schools, prisons, etc.)","","Community events/workshops","","","","Cage-free/crate-free legislation or regulations,Other legislation or regulations related to farmed animal welfare","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options,Other (Please specify)","Community out reach","","","","Very uninterested","Sometimes decisions making is hard as it involves many and the decisions of minorities are sometimes ignored","","","","","","","","Very uninterested","Sometimes one is limited in ideas, funds and strategies for effective campaign","","Somewhat satisfied","","Somewhat satisfied","Very satisfied","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Not at all an obstacle","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Somewhat useful","Somewhat useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Operations","","EN",267.666666666667,FALSE
"55",895,"R_3sAn1FTzJNm7t13","ES-ES","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Companion animals (e.g., dogs, cats raised as pets),Other captive animals (e.g. zoo animals, circus animals, etc.)","","6-10 years","At the national level, operating almost exclusively within a single country","Mexico","1-5","","Other (Please Specify)","Pesos","Mixed: Combines ideas related to both welfare and rights","","Mexico","Individual diet outreach, vegan/vegetarian advocacy, and education,Institutional campaigns (e.g., working with schools, prisons, etc.),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","Online campaigns ,Community events/workshops","","","","","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options","","","","","Very interested","","Por que nos falta personal y presupuesto para ejercer presión a las empresas directamente, además de una estrategia dirigida a los corporativos","Very interested","","El actual gobierno rechaza a las AC ppr lo que es dificil interactuar","","","","","","","Somewhat dissatisfied","","","Somewhat dissatisfied","Somewhat satisfied","","","Por que nos hace falta presupuesto para ampliar las actividades a más lugares y diversificar","","","Falta presupuesto para lograr diversificar las actividades","","","Very important","Somewhat important","Very important","Very important","Very important","Very much an obstacle","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Fundraising & grants,Marketing and communications,Research & analytics,Animal care","","ES-ES",267.666666666667,FALSE
"56",1132,"R_3qkNedZJ0LsICAN","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Companion animals (e.g., dogs, cats raised as pets),Wild animals","","1-2 years","At the national level, operating almost exclusively within a single country","United Republic of Tanzania","1-5","65000","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","United Republic of Tanzania","Individual diet outreach, vegan/vegetarian advocacy, and education,Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","In-person/street advocacy,Community events/workshops","","Campaigning for producers and companies to go cage/crate-free,Campaigns to increase vegan/vegetarian options at businesses","","Cage-free/crate-free legislation or regulations,Other legislation or regulations related to farmed animal welfare,Legislation or regulations related to plant-based food labelling","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options,Working with prisons to increase vegan/vegetarian/higher welfare options,Working with hospitals to increase vegan/vegetarian/higher welfare options","","","","","","","","","","","","","","Very interested","","It's because of lack of funding to support the program,if at all we get funded we happy to help animals by all means.","Somewhat satisfied","Somewhat dissatisfied","Very dissatisfied","Somewhat satisfied","","","","","Yes, we lack sustainability in our programs because of limited funding.","Yes, because of lack of continuity in what we are doing due to limited funding.","","","","Very important","Very important","Somewhat important","Somewhat important","Somewhat important","Not at all an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Operations,Research & analytics,Animal care","","EN",267.666666666667,FALSE
"57",1025,"R_3qpoCPO6z3H8scZ","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Companion animals (e.g., dogs, cats raised as pets),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","6-10 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","South Africa,United States of America","Less than 1","0","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","United States of America","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","In-person/street advocacy,Online campaigns ,Community events/workshops","","","","","","","","","","","Neutral","","","Very interested","","No funding.","Somewhat interested","","No funding.","Somewhat interested","","No funding.","Very satisfied","","","","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Volunteer management,Marketing and communications,Operations,Research & analytics","","EN",267.666666666667,FALSE
"58",3272,"R_Z8HqOfnv2lvu7Jv","ES-ES","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.),Other animals (please specify):","Todos los animales","More than 10 years","At the national level, operating almost exclusively within a single country","Argentina","1-5","20000","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Argentina","Individual diet outreach, vegan/vegetarian advocacy, and education,Policy campaigns (e.g., lobbying national, state, or local government),Other (please specify)","reallizamos el evento vegano más potente de Hispanoamérica el VEGAN FEST ARGENTINA  que este año será su edición 18","Individual diet outreach, vegan/vegetarian advocacy, and education","","In-person/street advocacy,Online campaigns ,Community events/workshops,Other (please specify)","Participacion en atención de la prensa  gráfica, radio y televisiva y desarrollo de estrategias de difusión con celebridades y famosos que ayuden a visibilizar lo que les sucede a los animales y como esto además incide en el planeta y la salud.","","","Legislation or regulations related to plant-based food labelling,Other (Please specify)","Legislación que impulsen las dietas a base de vegetales, que promuevan el veganismo desde las políticas de estado y que le den Derechos a todos los Animales. Asesoramiento a organismos del Gobierno","","","","","","Somewhat interested","","Porque para terminar con la crueldad hacia los animales y el especismo, preferimos el enfoque abolicionista","","","","Very interested","","Para lograr el cambio y que el futuro sea vegano la EDUCACION es lo principal","Very interested","","Por no tener los recursos que hacen falta para este tipo de acciones, pero nos encantaría y es un sueño tener un santuario donde poder albergar animales de todo tipo","Somewhat satisfied","","Somewhat satisfied","","","Somewhat satisfied","","","","","","","","Very important","Very important","Very important","Very important","Very important","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Operations,Research & analytics,Other (please specify)","Coordinacion General","ES-ES",267.666666666667,FALSE
"59",745,"R_u9Q4wzrfereWnHb","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","More than 10 years","At the national level, operating almost exclusively within a single country","United States of America","1-5","150000","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","United States of America","Individual diet outreach, vegan/vegetarian advocacy, and education,Direct work (e.g., rescues, veterinary care, sanctuaries)","","Direct work (e.g., rescues, veterinary care, sanctuaries)","","In-person/street advocacy,Online campaigns ,Community events/workshops","","","","","","","","","","","Very uninterested","the outcome of such campaigns are not fruitful for the animals, rather they line the pockets of orgs involved","","Somewhat uninterested","I have not seen a campaign that truly helps animals and it shows no sense of urgency","","Somewhat interested","","It's possible to lead through example in this way","","","","Somewhat satisfied","","","","Very satisfied","","","","","","","","","Somewhat important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Volunteer management,Marketing and communications,Operations,Research & analytics,Animal care","","EN",267.666666666667,FALSE
"60",6056,"R_1fjuaVcd0BgzPgy","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","6-10 years","At the national level, operating almost exclusively within a single country","Australia,New Zealand","1-5","569531","USD (United States Dollar)","","Animal welfare: Supports the improvement of animal well-being, humane treatment, and the prevention of suffering","","Australia,New Zealand","Individual diet outreach, vegan/vegetarian advocacy, and education,Other (please specify)","Education of healthcare professionals","Other (please specify)","","Community events/workshops","","","","","","","","","","","Very uninterested","We do not have the experience or resources","","Somewhat interested","","Due to limited capacity (staff resources and financial resources) to pursue policy campaigns, as well as there being many obstacles in the way when it comes to health policy campaigns.","Neutral","","","Very uninterested","We are a whole food plant-based organisation, focused on the elimination of animal products for human health","","Somewhat dissatisfied","","","","","Somewhat satisfied","","Dietary change is not easy or as readily accessible for everyone, focusing on a more narrow vegan diet, of whole food plant-based, can be harder for some","","","","","","Very important","Somewhat important","Somewhat important","Somewhat important","Very important","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Very useful","Somewhat useful","Very useful","Strategy & organisational oversight,Fundraising & grants,Operations","","EN",267.666666666667,FALSE
"61",396,"R_1LzByu4NlYIOy4q","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","Less than 1 year","At the national level, operating almost exclusively within a single country","Australia","Less than 1","136000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Australia","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","Other (please specify)","Community resources","","","","","","","","","","Neutral","","","Somewhat interested","","We do not have the resources to do so","Somewhat interested","","Resource limitations","Very uninterested","Our work, and volunteer skillsets, are advocacy based","","Somewhat satisfied","","","","","","","","","","","","","Very important","Very important","Somewhat important","Very important","Very important","Not at all an obstacle","Not at all an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Somewhat useful","Somewhat useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Fundraising & grants,Volunteer management,Operations","","EN",267.666666666667,FALSE
"62",3669,"R_21twflLqsIeV1Qg","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.),Other animals (please specify):","Insects","3-5 years","At the national level, operating almost exclusively within a single country","Thailand","1-5","30000","USD (United States Dollar)","","Other (please specify)","To change people diet and behavior which effect on animal welfare and rights","Thailand","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","Online campaigns","","","","","","","","","","","Very interested","","Nope, I always interested.","Very interested","","Still interested","Very interested","","We are trying to work with school, university, etc.","Neutral","","","Somewhat satisfied","","","","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Very useful","Very useful","Very useful","Volunteer management","","EN",267.666666666667,FALSE
"63",512,"R_pRarSg7yi5XzYgV","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","1-2 years","At the regional level, operating in multiple countries within one region (e.g., within Asia, Africa, Europe, Latin America, Middle East and North Africa, North America, or Oceania)","Taiwan","Less than 1","15000","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Institutional campaigns (e.g., working with schools, prisons, etc.),Other (please specify)","Public relations for vegan movement","Other (please specify)","","","","Campaigns to increase vegan/vegetarian options at businesses","","","","Working with hospitals to increase vegan/vegetarian/higher welfare options","","Somewhat interested","","Limited resources.","","","","Very interested","","Limited resources - we do liaise with other groups who work on this","","","","Very uninterested","Other groups working on this in our region already","","","Somewhat satisfied","","Somewhat satisfied","","Somewhat satisfied","","","","","","","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Not at all an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Operations","","EN",267.666666666667,FALSE
"64",1354,"R_2Bx5LowhRZP22WF","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","3-5 years","At the national level, operating almost exclusively within a single country","Uganda","Less than 1","5000","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Uganda","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","Community events/workshops","","","","","","","","","","","Very interested","","Activities are very expensive to implement and we have no donations","Somewhat interested","","This compaign needs all team members to first attend policy education which can cost about 5000$ which we currently do have","Very interested","","Starting next month we are opening up this compaign in schools with the support from Thrive Philanthropy","Very uninterested","In Uganda we don't have many stray animals and we don't have a professional doctor on our team","","Very satisfied","","","","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight","","EN",267.666666666667,FALSE
"65",537,"R_1eF7tY6QBnXdsRI","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","More than 10 years","At the national level, operating almost exclusively within a single country","Russian Federation","Less than 1","3000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Russian Federation","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","Online campaigns ,Community events/workshops","","","","","","","","","","","Somewhat interested","","Looks like during the war its hard to do that.","Neutral","","","Neutral","","","Somewhat uninterested","we are just not inspired :)","","Somewhat satisfied","","","","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Fundraising & grants,Volunteer management,Marketing and communications,Operations,Research & analytics","","EN",267.666666666667,FALSE
"66",489,"R_3fI4h1aJybK5AuM","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp)","","1-2 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","Brazil,Malaysia,United States of America","1-5","800000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Brazil,Malaysia,United States of America","Other (please specify)","Movement Building, Events","","","","","","","","","","","Very uninterested","We will not do our own campaigns but remain a neutral arbiter to the movement overall.","","Very uninterested","see above","","Very uninterested","see above","","Very uninterested","see above","","Very uninterested","see above","","","","","","","Very satisfied","","","","","","","","Somewhat important","Not at all important","Very important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very useful","Very useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Strategy & organisational oversight,Operations","","EN",267.666666666667,FALSE
"67",2633,"R_dcjUjkrhbpcx1Yt","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","3-5 years","At the national level, operating almost exclusively within a single country","Congo, Republic of the...","6-10","15000","USD (United States Dollar)","","Animal welfare: Supports the improvement of animal well-being, humane treatment, and the prevention of suffering","","Congo, Republic of the...","Individual diet outreach, vegan/vegetarian advocacy, and education,Institutional campaigns (e.g., working with schools, prisons, etc.)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","Online campaigns ,Community events/workshops","","","","","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options","","","","","Very interested","","often insufficient means, and other reasons, not long ago we experienced a war in our region, but everything seems to be normal to begin activities","Very interested","","Conduct advocacy with government and local authorities but also with civil society actors","","","","Very interested","","for example as part of providing primary care in the event of an emergency, so we have a mobile clinic initiative with the veterinary team of our association","Very satisfied","","","Very satisfied","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Not at all an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Other (please specify)","Exective Director","EN",267.666666666667,FALSE
"68",470,"R_3NFnQ9y1OfMDCp8","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp)","","6-10 years","At the national level, operating almost exclusively within a single country","Lithuania","1-5","210000","Euro","","Mixed: Combines ideas related to both welfare and rights","","Lithuania","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government)","","Policy campaigns (e.g., lobbying national, state, or local government)","","","","Campaigning for producers and companies to go cage/crate-free,Campaigns for businesses to conduct ethical sourcing of other animal products","","Other (Please specify)","We are working to get fur farming banned","","","Very uninterested","Changing systems works better in our opinion.","","","","","","","","Somewhat uninterested","We are focused on other things way more.","","Somewhat uninterested","Not cost effective","","","Neither satisfied nor dissatisfied","Very satisfied","","","","","","","","","","","Not at all important","Somewhat important","Very important","Very important","Very important","Not at all an obstacle","Not at all an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat useful","Not at all useful","Very useful","Not at all useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Strategy & organisational oversight,Program, policy & external affairs,Operations","","EN",267.666666666667,FALSE
"69",466,"R_25WN4ygGaSYS9OH","JA","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Other captive animals (e.g. zoo animals, circus animals, etc.)","","6-10 years","At the national level, operating almost exclusively within a single country","Afghanistan","11-20","20000","Other (Please Specify)","円","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Afghanistan","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","In-person/street advocacy","","","","","","","","","","","Neutral","","","Neutral","","","Somewhat interested","","活動をやめたから","Neutral","","","Somewhat satisfied","","","","","","","","","","","","","Not at all important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Operations,Animal care","","JA",267.666666666667,FALSE
